Guide1,Guide2,Library read counts,Rep1,Rep2,Gene1,Gene2
AHR-KO-2,TP53-KO-3,40,496,646,AHR,TP53
AHR-KO-2,TP53-KO-4,42,1567,1465,AHR,TP53
AHR-KO-2,XPO1-KO-1,34,54,19,AHR,XPO1
AHR-KO-2,XPO1-KO-2,61,0,4,AHR,XPO1
AHR-KO-2,XPO1-KO-3,49,0,0,AHR,XPO1
AHR-KO-2,XPO1-KO-4,39,0,0,AHR,XPO1
AHR-KO-2,XRN2-KO-1,44,0,0,AHR,XRN2
AHR-KO-2,XRN2-KO-2,23,22,11,AHR,XRN2
AHR-KO-2,XRN2-KO-3,48,0,1,AHR,XRN2
AHR-KO-2,XRN2-KO-4,38,44,84,AHR,XRN2
AHR-KO-3,AHR-KO-1,145,1400,987,AHR,AHR
AHR-KO-3,AHR-KO-2,114,842,462,AHR,AHR
AHR-KO-3,AHR-KO-3,230,1020,768,AHR,AHR
AHR-KO-3,AHR-KO-4,87,600,575,AHR,AHR
AHR-KO-3,ARNT-KO-1,130,459,617,AHR,ARNT
AHR-KO-3,ARNT-KO-2,112,219,356,AHR,ARNT
AHR-KO-3,ARNT-KO-3,123,124,403,AHR,ARNT
AHR-KO-3,ARNT-KO-4,99,503,600,AHR,ARNT
AHR-KO-3,BBX-KO-1,62,414,318,AHR,BBX
AHR-KO-3,BBX-KO-2,107,699,610,AHR,BBX
AHR-KO-3,BBX-KO-3,96,635,368,AHR,BBX
AHR-KO-3,BBX-KO-4,134,681,264,AHR,BBX
AHR-KO-3,C3orf17-KO-1,106,57,111,AHR,C3orf17
AHR-KO-3,C3orf17-KO-2,95,825,466,AHR,C3orf17
AHR-KO-3,C3orf17-KO-3,123,5,193,AHR,C3orf17
AHR-KO-3,C3orf17-KO-4,107,181,108,AHR,C3orf17
AHR-KO-3,CAND1-KO-1,146,532,414,AHR,CAND1
AHR-KO-3,CAND1-KO-2,103,58,160,AHR,CAND1
AHR-KO-3,CAND1-KO-3,113,296,211,AHR,CAND1
AHR-KO-3,CAND1-KO-4,245,148,196,AHR,CAND1
AHR-KO-3,CCT4-KO-1,165,117,101,AHR,CCT4
AHR-KO-3,CCT4-KO-2,59,1,11,AHR,CCT4
